text,intent
blod prssur 150/90 after fod,give_symptom
cya,goodbye
loremipsumdolor 3llh,gibberish
my throat hurts,ask_symptom
??!!?? q554s2q2w!d,gibberish
thanks a lot,thanks
severe bleeding for 1 mins,emergency
blarg blap,gibberish
i'm coughing while sleeping!!!,ask_symptom
my throat hurts after food,ask_symptom
"yo, good evening",greet
!!!@@@,gibberish
i have a rash,ask_symptom
se y,goodbye
thanks a lot,thanks
"hi, i hav a rash fr 3 days",ask_symptom
"btw, i have chest pain",ask_symptom
sore throat since morning for 6 mins - moderate,give_symptom
vomiting now,give_symptom
ggggggg l1k@2@aljdg!,gibberish
unconscious for 24 hrs,emergency
thanks a lot,thanks
blood pressure 150/90 at home,give_symptom
high temp 39C,give_symptom
i have fever in office,ask_symptom
cheers,thanks
??!!?? !!hskf4h@,gibberish
i feel nauseous,ask_symptom
skn itching fter fod - slight?,give_symptom
ggggggg,gibberish
hey,greet
high temp 39C for 24 mns,give_symptom
"hi, cheers",thanks
"hey, tightness in chest - SLIGHT",give_symptom
ggggggg,gibberish
qwrty 123,gibberish
i have fvr,ask_symptom
i have fever,ask_symptom
good evening,greet
"yo, sore throat since morning",give_symptom
i have a headache - very bad,ask_symptom
qwrty 123,gibberish
"yo, vomiting now!!",give_symptom
ggggggg,gibberish
severe burn for 24 mins,emergency
blood pressure 150/90 in office!!,give_symptom
"so, i have a headache - very bad while sleeping",ask_symptom
qwrty 123 4dgedfq!,gibberish
diarrhea 4 times,give_symptom
coughing for 3 hrs at home,give_symptom
severe burn,emergency
urgnt ambulnce,emergency
 feel wak!!!,ask_symptom
vomiting now for 2 days - slight,give_symptom
random noise 890 !gef5q23w!q,gibberish
diarrhea 4 times,give_symptom
pls thank you,thanks
"btw, i'm short of breath for 24 days",ask_symptom
darrhea 4 times - very bd,give_symptom
i have a rash - severe,ask_symptom
"so, urgent ambulance after food",emergency
??!!??,gibberish
unconscious,emergency
i have chest pain for 12 mins after exercise...,ask_symptom
i have a headache after food,ask_symptom
??!!?? @11sk1h!qrls,gibberish
random noise 890,gibberish
goodbye...,goodbye
"h, ttyl?",goodbye
my throat hurts for 12 mins,ask_symptom
severe allergic reaction for 6 mins - severe,emergency
coughing for 3 hrs for 3 mins at home,give_symptom
vomiting now for 12 days at home,give_symptom
i'm short of breath,ask_symptom
i feel nauseous for 4 days,ask_symptom
feeling dizzy!!,ask_symptom
severe chest pain...,emergency
good evening,greet
severe bleeding for 4 days - very bad,emergency
pls thanks :),thanks
loremipsumdolor 5r25ald,gibberish
thank you,thanks
blarg blap h2h,gibberish
hjkl; 098,gibberish
!!!@@@ !r3h4sr@fwf!,gibberish
"so, thx",thanks
i'm coughing for 24 days in office,ask_symptom
zzzzzzzz daq5r2aw@51!,gibberish
severe burn,emergency
severe burn,emergency
diarrhea 4 times for 6 hrs,give_symptom
coughing for 3 hrs for 12 hrs - mild,give_symptom
i'm shrt of breath,ask_symptom
mornng...,greet
i have a rash,ask_symptom
blarg blap,gibberish
i feel weak,ask_symptom
ggggggg,gibberish
"hi, hiya?",greet
hey there,greet
random noise 890,gibberish
pls help! can't breathe,emergency
sore THROAT since morning - moderate...,give_symptom
coughing for 3 hrs for 1 days - very bad,give_symptom
"hi, diarrhea 4 times for 6 days?",give_symptom
ty?,thanks
i have a headache - mild,ask_symptom
i'm short of breath for 1 mins!!!,ask_symptom
"hey, i feel nauseous after exercise",ask_symptom
loss of vision for 2 mins at home,emergency
thanks a lot,thanks
hjkl; 098 j!fqj5,gibberish
bye bye,goodbye
feeling dizzy!!,ask_symptom
feeling dizzy,ask_symptom
yo,greet
help! can't breathe - moderate?,emergency
i'm coughing,ask_symptom
??!!??,gibberish
i've had fever for 2 days,give_symptom
i'm short of breath,ask_symptom
coughing for 3 hrs for 4 days AT home,give_symptom
much apprciatd,thanks
asd asd asd fw!,gibberish
skin itching after food for 6 hrs - moderate,give_symptom
 fl wk fr 6 days,ask_symptom
 hv a rash,ask_symptom
"yo, i feel nauseous while sleeping",ask_symptom
"hey, unconscious for 2 mins",emergency
i feel weak,ask_symptom
hjkl; 098 fs354ad4,gibberish
i have a rash,ask_symptom
ty,thanks
severe bleeding for 24 mins,emergency
"hy, thx",thanks
??!!?? gs3wa@rh1a1!,gibberish
feeling dizzy for 24 days,ask_symptom
bp pressure 150/90 for 24 hrs - slight,give_symptom
i feel weak for 2 hrs,ask_symptom
"yo, my throat hurts for 12 mins - very bad",ask_symptom
farewell,goodbye
fel WEK,ask_symptom
zzzzzzzz @!4#fw3wj2#,gibberish
i feel nauseous,ask_symptom
random noise 890 r!@l3egg2,gibberish
heart rate 110 bpm,give_symptom
heart rate 110 bpm for 1 days,give_symptom
zzzzzzzz ld2,gibberish
HEART rate 110 bpm!?,give_symptom
i hve a rash fr 1 mins,ask_symptom
i feel weak for 1 mins after food,ask_symptom
THANKS :),thanks
YO!!!,greet
much appreciated,thanks
"s, collapse",emergency
blarg blap 5@l25ga@s,gibberish
loremipsumdolor,gibberish
"btw, loss sob vision for 2 hrs in office",emergency
"hey, i have a rash for 2 days",ask_symptom
vomiting now for 4 hrs,give_symptom
i'm coughing,ask_symptom
severe allergic reaction for 2 days,emergency
qwrty 123,gibberish
i'm short of sob,ask_symptom
bye,goodbye
qwrty 123,gibberish
loremipsumdolor wawr!,gibberish
coughing for 3 hrs - moderate...,give_symptom
feeling dizzy,ask_symptom
"hi, my throat hurts - very bad!!!",ask_symptom
i have a headache,ask_symptom
"pls help, severe bleeding for 2 hrs",emergency
much appreciated,thanks
i feel nauseous,ask_symptom
i'm short of breath - slght,ask_symptom
"yo, skin itching after food",give_symptom
thanks :),thanks
"hey, i have a headache for 12 hrs after exercise!?",ask_symptom
vomiting now for 12 hrs - severe,give_symptom
i feel weak - very bad,ask_symptom
i feel weak for 3 HRS while sleeping,ask_symptom
pls i'm short of breath while sleeping,ask_symptom
i have fever for 24 hrs after exercise,ask_symptom
i have a rash - moderate,ask_symptom
i have a rash for 24 mins - moderate,ask_symptom
i have chest pain for 1 mins - severe,ask_symptom
loremipsumdolor,gibberish
farewell,goodbye
collapse for 3 days!?,emergency
feeling dizzy for 12 mins - very bad,ask_symptom
zzzzzzzz 42k5h15,gibberish
asd asd asd #3kh1j,gibberish
zzzzzzzz,gibberish
i feel weak for 1 days,ask_symptom
i feel nauseous for 12 days?,ask_symptom
diarrhea 4 times for 24 mins - slight,give_symptom
farewell,goodbye
"hi, thx",thanks
good evening!?,greet
i feel nauseous - severe,ask_symptom
"pls help, urgent ambulance for 1 mins",emergency
tightness in chest for 2 days in office,give_symptom
qwrty 123 ag@@,gibberish
i feel weak for 24 days in office,ask_symptom
"btw, thank you",thanks
!!!@@@,gibberish
i'm coughing - severe?,ask_symptom
i have a headache - moderate,ask_symptom
qwrty 123,gibberish
i'm coughing,ask_symptom
skin itching after food - slight,give_symptom
i have fever in office,ask_symptom
high temp 39C for 3 mins - moderate after food,give_symptom
qwrty 123,gibberish
i feel weak - severe while sleeping!?,ask_symptom
"hi, urgent ambulance for 3 mins",emergency
morning,greet
i'm short sob brth ftr food,ask_symptom
severe allergic reaction for 4 hrs,emergency
URGENT ambulance,emergency
"hey, skin itching after food",give_symptom
blood pressure 150/90 - mild after food,give_symptom
good morning!!!,greet
"pls help, high temp 39C",give_symptom
"SO, blood pressure 150/90?",give_symptom
bye bye...,goodbye
i've had fever for 2 days - slight,give_symptom
skin tching aftr fd - severe after exrcise,give_symptom
skin itching after food for 12 hrs,give_symptom
loss of vision - very bad,emergency
"hi, high temp 39C - mild in office",give_symptom
??!!??,gibberish
se ya?,goodbye
feeling dizzy for 1 hrs - slight,ask_symptom
thanks :),thanks
high temp 39C,give_symptom
ggggggg,gibberish
skin itching after food - very bad!?,give_symptom
urgent ambulance at home,emergency
loremipsumdolor,gibberish
"hey, vomiting now",give_symptom
"btw, i'm short of breath for 12 mins - very bad!?",ask_symptom
i have fever for 6 hrs - severe,ask_symptom
hello,greet
