text,intent
How do i know if it is serious,ask_symptom
running nose n sneezing!,give_symptom
GREAT HELP,thanks
catch you later,goodbye
collapsing rn,emergency
burning eyes with fever,give_symptom
Hey assistant,greet
thank you very much pls,thanks
uh emergency help please,emergency
PAIN IN LOWER BELLY,give_symptom
thanking you pls,thanks
Collapsing rn,emergency
plz got stomach ache solution?,ask_symptom
plz hiii,greet
Can't move my arm,emergency
laters,goodbye
see u later,goodbye
blood is coming when I cough pls,emergency
yo,greet
plz cheers,thanks
plz bye now,goodbye
thanx,thanks
uh later bro,goodbye
appreciate your help,thanks
what should I do for fever!,ask_symptom
can't move my arm asap,emergency
how do I know if it is serious!,ask_symptom
how can i stop my cold fast,ask_symptom
uh chest pain and sweating,give_symptom
how do I know if it is serious,ask_symptom
severe chest pain,emergency
I FEEL DIZZY WHAT DO I DO,ask_symptom
CHEERS,thanks
rash on my arm,give_symptom
NOSE BLOCKED AND HEAVY HEAD,give_symptom
appreciate your help pls,thanks
my throat is sore,give_symptom
plz cheers,thanks
take care,goodbye
tysm,thanks
what should i do for fever,ask_symptom
plz how to treat back pain,ask_symptom
hello,greet
rash on my arm!,give_symptom
vision is blurring pls,emergency
goodbye friend,goodbye
why do i feel weak everyday,ask_symptom
plz why do i feel weak everyday,ask_symptom
plz sore throat and fever,give_symptom
plz helloooo,greet
uh thanks a lot,thanks
bye bye pls,goodbye
can't stand straight,emergency
heart hurts bad,emergency
uh medicine for flu,ask_symptom
good morning asap,greet
BIG THANKS,thanks
need ambulance,emergency
catch you later pls,goodbye
I have a fever and cough,give_symptom
uh chest pain and sweating,give_symptom
thanking you asap,thanks
how to treat back pain pls,ask_symptom
CAN'T STAND STRAIGHT,emergency
goodbye doctor asap,goodbye
vision is blurring pls,emergency
cheers!,thanks
NIGHT,goodbye
"help me, I am fainting!",emergency
catch you later,goodbye
good evening,greet
good morning pls,greet
thank you very much,thanks
thanx,thanks
farewell asap,goodbye
thx bro asap,thanks
why do i feel weak everyday,ask_symptom
uh is cough dangerous,ask_symptom
what if my fever lasts 3 days pls,ask_symptom
appreciate it,thanks
bye now pls,goodbye
My heart is beating too fast,emergency
hiya!,greet
thank u so much asap,thanks
bye bye!,goodbye
plz emergency help please,emergency
great help,thanks
FAREWELL,goodbye
DIZZY AFTER STANDING,give_symptom
good evening,greet
uh big thanks,thanks
plz dizzy after standing,give_symptom
Appreciate your help,thanks
big thanks,thanks
what's up pls,greet
hello!,greet
ok bye asap,goodbye
plz tysm,thanks
plz call doctor fast,emergency
pain in lower belly,give_symptom
heart hurts bad,emergency
HI,greet
YO,greet
Howdy,greet
burning eyes with fever,give_symptom
bye now!,goodbye
is cough dangerous pls,ask_symptom
I FEEL DIZZY WHAT DO I DO,ask_symptom
catch you later asap,goodbye
wassup!,greet
thank u very much,thanks
plz what should I do for fever,ask_symptom
vision is blurring,emergency
I have a fever and cough,give_symptom
medicine for flu!,ask_symptom
Thank u so much,thanks
bye bye!,goodbye
how can i stop my cold fast pls,ask_symptom
thank you asap,thanks
wassup asap,greet
how to treat back pain,ask_symptom
ok thanks pls,thanks
need ambulance asap,emergency
grateful,thanks
plz heyy,greet
plz hiii,greet
uh hi,greet
nose blocked and heavy head pls,give_symptom
PEACE OUT,goodbye
uh thanks doc,thanks
need ambulance,emergency
uh hiya,greet
good night asap,goodbye
I FEEL DIZZY WHAT DO I DO,ask_symptom
MY THROAT IS SORE,give_symptom
bye bye,goodbye
plz remedy for sore throat,ask_symptom
feel like passing out,emergency
hey assistant,greet
dizzy after standing!,give_symptom
dry cough all night,give_symptom
uh burning eyes with fever,give_symptom
what's up asap,greet
helloo,greet
plz dry cough all night,give_symptom
uh grateful,thanks
collapsing rn,emergency
good evening pls,greet
THANKING YOU,thanks
Any tips for nausea,ask_symptom
what should I do for fever,ask_symptom
what is the cure for cough,ask_symptom
major accident bleeding pls,emergency
farewell,goodbye
Nose blocked and heavy head,give_symptom
